Component: C153, Footprint: C2512, Pads created: 2
Component: C152, Footprint: C2512, Pads created: 2
Component: C147, Footprint: C2512, Pads created: 2
Component: C143, Footprint: C2512, Pads created: 2
Component: C144, Footprint: C2512, Pads created: 2
Component: C145, Footprint: C2512, Pads created: 2
Component: C146, Footprint: C2512, Pads created: 2
Component: C155, Footprint: C2512, Pads created: 2
Component: C156, Footprint: C2512, Pads created: 2
Component: R106, Footprint: R0402, Pads created: 2
Component: R103, Footprint: R0402, Pads created: 2
Component: R102, Footprint: R0402, Pads created: 2
Component: R104, Footprint: R0402, Pads created: 2
Component: R105, Footprint: R0402, Pads created: 2
Component: R101, Footprint: R0402, Pads created: 2
Component: R98, Footprint: R0402, Pads created: 2
Component: C141, Footprint: C2512, Pads created: 2
Component: C135, Footprint: C2512, Pads created: 2
Component: C136, Footprint: C2512, Pads created: 2
Component: C137, Footprint: C2512, Pads created: 2
Component: R96, Footprint: R0402, Pads created: 2
Component: R97, Footprint: R0402, Pads created: 2
Component: C151, Footprint: C2512, Pads created: 2
Component: C148, Footprint: C2512, Pads created: 2
Component: C149, Footprint: C2512, Pads created: 2
Component: C150, Footprint: C2512, Pads created: 2
Component: R99, Footprint: R0402, Pads created: 2
Component: R100, Footprint: R0402, Pads created: 2
Component: D11, Footprint: SMB, Pads created: 2
Component: D12, Footprint: SMC, Pads created: 2
Component: C142, Footprint: C2512, Pads created: 2
Component: C140, Footprint: C2512, Pads created: 2
Component: C138, Footprint: C2512, Pads created: 2
Component: C139, Footprint: C2512, Pads created: 2
Component: R95, Footprint: R0402, Pads created: 2
Component: C176, Footprint: CAE-13.5X13.5X13.5mm(SMD), Pads created: 2
Component: C175, Footprint: CAE-13.5X13.5X13.5mm(SMD), Pads created: 2
Component: C174, Footprint: CAE-13.5X13.5X13.5mm(SMD), Pads created: 2
Component: C173, Footprint: CAE-13.5X13.5X13.5mm(SMD), Pads created: 2
Component: C172, Footprint: C2220, Pads created: 2
Component: R110, Footprint: R2010, Pads created: 2
Component: R111, Footprint: R2010, Pads created: 2
Component: R113, Footprint: R2010, Pads created: 2
Component: R118, Footprint: R2010, Pads created: 2
Component: C165, Footprint: C2220, Pads created: 2
Component: R107, Footprint: R0402, Pads created: 2
Component: R114, Footprint: R0402, Pads created: 2
Component: R119, Footprint: R0402, Pads created: 2
Component: C169, Footprint: C2220, Pads created: 2
Component: R112, Footprint: R2010, Pads created: 2
Component: C159, Footprint: C2220, Pads created: 2
Component: C158, Footprint: C2220, Pads created: 2
Component: C170, Footprint: C2220, Pads created: 2
Component: C161, Footprint: C2220, Pads created: 2
Component: C162, Footprint: C2220, Pads created: 2
Component: R115, Footprint: R2010, Pads created: 2
Component: R117, Footprint: R2010, Pads created: 2
Component: R108, Footprint: R2010, Pads created: 2
Component: C171, Footprint: C2220, Pads created: 2
Component: R116, Footprint: R2010, Pads created: 2
Component: R120, Footprint: R2010, Pads created: 2
Component: C164, Footprint: C2220, Pads created: 2
Component: C163, Footprint: C2220, Pads created: 2
Component: C168, Footprint: C2220, Pads created: 2
Component: C157, Footprint: C2220, Pads created: 2
Component: R109, Footprint: R2010, Pads created: 2
Component: C166, Footprint: C2220, Pads created: 2
Component: C154, Footprint: C2220, Pads created: 2
Component: R126, Footprint: R0402, Pads created: 2
Component: R128, Footprint: R0402, Pads created: 2
Component: R130, Footprint: R0402, Pads created: 2
Component: C178, Footprint: C2220, Pads created: 2
Component: C177, Footprint: C2220, Pads created: 2
Component: DY1, Footprint: LMF500-23B30UH, Pads created: 7
Component: C167, Footprint: CAE-13.5X13.5X13.5mm(SMD), Pads created: 2
Component: T6, Footprint: SOT-23, Pads created: 3
Component: T4, Footprint: TO-263-2, Pads created: 2
Component: T3, Footprint: TO-263-2, Pads created: 2
Component: T5, Footprint: SOT-23, Pads created: 3
Component: D15, Footprint: SOD-523, Pads created: 2
Component: L21, Footprint: L7.8x7.0x5.0, Pads created: 2
Component: D9, Footprint: SOD-523, Pads created: 2
Component: L18, Footprint: L7.8x7.0x5.0, Pads created: 2
Component: D6, Footprint: SMC, Pads created: 2
Component: U8, Footprint: ESOP8L, Pads created: 9
Component: U7, Footprint: TO-252(1), Pads created: 3
Component: U9, Footprint: TO-252(1), Pads created: 3
Component: D7, Footprint: SOT-23, Pads created: 3
Component: U6, Footprint: SOT-89, Pads created: 4
Component: U11, Footprint: DW-PXXX-20XP1, Pads created: 8
Component: U10, Footprint: TO-263-7, Pads created: 8
Component: L19, Footprint: L7.8x7.0x5.0, Pads created: 2
Component: L20, Footprint: L7.8x7.0x5.0, Pads created: 2
Component: L22, Footprint: T22*14*8, Pads created: 4
Component: U12, Footprint: SOT-23-5, Pads created: 5
Component: D10, Footprint: SOD-523, Pads created: 2
Component: D14, Footprint: SOD-523, Pads created: 2
Component: J29, Footprint: ??????6?(2*3PIN??2?4.3), Pads created: 6
Component: D8, Footprint: SOD-523, Pads created: 2
Component: D13, Footprint: SOD-523, Pads created: 2
